"member_casual_clean","day_of_week","numero_de_viajes","promedio_duracion_min"
"casual","domingo",356872,24.4546560111188
"casual","lunes",245882,20.338125604965
"casual","martes",225475,17.9912717596186
"casual","miércoles",260755,18.5577572817396
"casual","jueves",256482,18.2127634687814
"casual","viernes",305305,20.3402826681515
"casual","sábado",429382,24.0576852313325
"member","domingo",408947,13.315236448733
"member","lunes",525600,11.3522203196347
"member","martes",560824,11.3757738613183
"member","miércoles",599417,11.5935400564215
"member","jueves",560840,11.3825048142073
"member","viernes",516204,11.621178836274
"member","sábado",469459,13.3196871292275
